418801	IM Chief investigated for alleged negligence	http://www.newstalkzb.co.nz/auckland/news/nbint/1488463484-im-chief-investigated-for-alleged-negligence	Newstalk ZB	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.newstalkzb.co.nz	1409200008034
418802	IMF chief faces investigation in corruption case	http://www.ianslive.in/index.php\?param=news/IMF_chief_faces_investigation_in_corruption_case-440503/INTERNATIONAL/13	IANS	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.ianslive.in	1409200008295
418803	Christine Lagarde faces probe for fraud	http://www.deccanchronicle.com/140828/business-latest/article/christine-lagarde-faces-probe-fraud	Deccan Chronicle	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.deccanchronicle.com	1409200008730
418804	IMF chief Lagarde charged with negligence	http://www.skynews.com.au/business/business/world/2014/08/28/imf-chief-lagarde-charged-with-negligence.html	Sky News Australia	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.skynews.com.au	1409200008973
418805	IMF chief Lagarde under investigation	http://www.dailystar.com.lb/Business/International/2014/Aug-28/268709-imf-chief-lagarde-under-investigation.ashx	The Daily Star	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.dailystar.com.lb	1409200009247
418806	FINANCE > IMF chief Lagarde charged over French corruption case	http://www.hurriyetdailynews.com/imf-chief-lagarde-charged-over-french-corruption-case.aspx\?pageID=238&amp;nID=70973&amp;NewsCatID=346	Hurriyet Daily News	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.hurriyetdailynews.com	1409200009584
418807	Christine Lagarde faces Official Investigation	http://frenchtribune.com/teneur/1423472-christine-lagarde-faces-official-investigation	French Tribune	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	frenchtribune.com	1409200009835
418808	French court puts IMF chief under formal investigation	http://www.todayonline.com/world/europe/french-court-puts-imf-chief-under-formal-investigation	TODAYonline	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.todayonline.com	1409200010117
418809	Big day for airline news	http://www.stuff.co.nz/business/industries/10433203/Big-day-for-airline-news	Stuff.co.nz	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.stuff.co.nz	1409200010477
418810	IMF chief under French probe for negligence	http://www.businesstimes.com.sg/premium/top-stories/imf-chief-under-french-probe-negligence-20140828	THE BUSINESS TIMES \(subscription\)	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.businesstimes.com.sg	1409200010796
418811	IMF chief put under probe in French fraud case	http://www.gulf-times.com/eco.-bus.%20news/256/details/405904/imf-chief-put-under-probe-in-french-fraud-case	Gulf Times	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.gulf-times.com	1409200011089
418812	IMF chief under probe for fraud	http://main.omanobserver.om/\?p=106151	Oman Daily Observer	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	main.omanobserver.om	1409200011747
418813	Lagarde denies wrongdoing in the Bernard Tapie	http://www.spyghana.com/lagarde-denies-wrongdoing-in-the-bernard-tapie/	spyghana.com	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.spyghana.com	1409200012019
418814	IMF chief on graft `negligence' rap	http://www.thestandard.com.hk/news_detail.asp\?we_cat=6&amp;art_id=148852&amp;sid=42881538&amp;con_type=1&amp;d_str=20140828&amp;fc=4	Hong Kong Standard	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.thestandard.com.hk	1409200012272
418815	IMF chief Christine Lagarde under investigation in France for negligence	http://metronews.ca/news/world/1138118/imf-chief-lagarde-under-investigation-in-france/	MetroNews Canada	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	metronews.ca	1409200012715
418816	The Underwhelming Case Against the IMF's Christine Lagarde	http://www.businessweek.com/articles/2014-08-27/imf-chief-lagarde-under-investigation	Businessweek	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.businessweek.com	1409200012952
418817	IMF Chief Lagarde Under Investigation In French Fraud Case	http://www.huffingtonpost.com/2014/08/27/imf-lagarde-fraud_n_5720856.html\?utm_hp_ref=world	Huffington Post	b	dJ_WK8oxFQLZhdM2nhqzzieXKbUDM	www.huffingtonpost.com	1409200014338
418818	Arts and crafts retailer Michaels is upbeat	http://www.dallasnews.com/business/retail/20140827-arts-and-crafts-retailer-michaels-is-upbeat.ece	Dallas Morning News	b	dhgOZGWLqg5f-5MXZMHHz99jfXohM	www.dallasnews.com	1409200238088
418819	Michaels's Q2 sales, full-year guidance beat Wall Street	http://www.proactiveinvestors.com/companies/news/56432/michaelss-q2-sales-full-year-guidance-beat-wall-street-56432.html	Proactive Investors USA \& Canada	b	dhgOZGWLqg5f-5MXZMHHz99jfXohM	www.proactiveinvestors.com	1409200238487
418820	Michaels Companies Inc Surges on Solid Earnings	http://www.valuewalk.com/2014/08/michaels-companies-inc-surges-on-solid-earnings/	ValueWalk	b	dhgOZGWLqg5f-5MXZMHHz99jfXohM	www.valuewalk.com	1409200239435
